api8,gas_mcf_d,oil_bbl_d
38336043,0.0,0.0
38336044,0.0,0.0
38900560,0.0,0.0
38901108,2.05,0.0
38900810,22.65,0.0
38900468,1.02,0.0
38900811,0.67,0.0
38900299,0.03,0.0
38900300,0.03,0.0
38900857,0.0,1.29
38900360,4.79,0.25
38900376,0.0,0.0
38900202,0.0,0.0
38900556,0.0,0.0
38900887,0.0,0.0
38900888,0.0,0.0
38900889,0.0,0.0
38900890,0.0,0.0
38900891,0.0,0.0
38910045,0.0,0.0
38910215,222.0,0.01
38910198,0.0,0.0
38910160,0.0,0.0
38910180,0.0,0.0
38910234,0.0,0.0
38910251,0.0,0.0
38910409,0.0,0.0
38910427,21.02,0.0
38900561,0.0,0.0
38910429,29.87,0.0
38910428,495.01,0.0
38910424,80.1,0.0
38910433,0.0,0.0
38910425,57.25,0.0
38910426,10.52,0.0
38910435,0.0,0.0
38910401,269.4,0.01
38910443,0.0,0.0
38910461,0.0,0.0
38910442,49.91,0.0
38910455,106.14,0.0
38910452,57.99,0.0
38910487,0.0,0.0
38920119,0.0,0.0
38910491,0.0,0.0
38910524,0.94,0.0
38910514,0.0,0.0
38910546,1.82,0.0
38910551,30.36,0.0
38930001,163.78,0.0
38910548,88.68,0.0
38910554,0.0,0.0
38910555,0.0,0.0
38910574,0.0,0.0
38930025,4.04,0.0
38920027,0.0,0.0
38930016,0.0,0.0
38930042,0.0,0.0
38920042,0.0,0.0
38930051,0.0,0.0
38930033,0.0,0.0
38930075,0.0,0.0
38930090,0.0,0.0
38930038,45.9,0.0
38930046,2.21,0.0
38930045,9.41,0.0
38930187,0.0,0.0
38930159,0.0,0.0
38930204,0.0,0.0
38930217,0.0,0.0
38930210,17.05,0.29
38930231,0.0,0.0
38910504,0.0,0.0
38930245,0.0,0.0
38930249,0.0,0.0
38930260,0.0,0.0
38910456,0.0,0.0
38930261,0.0,0.0
38930262,0.0,0.0
38930282,0.0,0.0
38930036,0.0,0.0
38930305,7.02,0.0
38930283,0.0,0.0
38930280,10.2,0.0
38930296,10.07,0.0
38930352,0.0,0.0
38910212,0.0,0.0
38930275,45.5,0.0
38930341,0.0,0.0
38930358,0.0,0.0
38930407,0.0,0.0
38930378,0.0,0.0
38930396,0.0,0.0
38930398,0.0,0.0
38930397,0.0,0.0
38930384,0.0,0.0
38930400,0.0,0.0
38930443,0.0,0.0
38930414,0.0,0.0
38930447,0.0,0.0
38930446,0.0,0.0
38930445,0.0,0.0
38930450,0.0,0.0
38930453,0.0,0.0
38930454,0.0,0.0
38930410,0.0,0.0
38930463,0.0,0.0
38930421,0.0,0.0
38930470,0.0,0.0
38930492,0.0,0.0
38930481,0.0,0.0
38930488,0.0,0.0
38930499,0.0,0.0
38930491,0.0,0.0
38930496,0.0,0.0
38930875,0.0,0.0
38930873,0.0,0.0
